"sha","hour_block","day_of_week"
"8e296a09fc5c49188a129356caca8c3ea5eee000","09-12","Thursday"
"f81402e3fdaf58f83a14fe5ec5a8a782dfb13b99","12-15","Thursday"
"f5aed58d9fb2137fa5f0e3ce75b6709bf8393a94","15-18","Thursday"
"33709f07afc337ddf429afcc74707a403fcf3513","15-18","Thursday"
"955e9492cf78bf640fef4f30f480f11ca1e5d43f","15-18","Thursday"
"db8cbf6ab5e144f58555e0c30361d8d6ec31ef21","18-21","Thursday"
"abea18902257c0250fedb764edda462f9e5abc84","18-21","Thursday"
"0b4f1c116a6129d3125b953312ad0cbf4ebab7ce","21-00","Thursday"
"e065f6a9f84a4af7080af1fa9116958a7890c0fc","21-00","Thursday"
"cfe759dc59bfc3390e7ba07184f0de9eb725122d","21-00","Thursday"
"d2cf8a5cc1819ec802086a68ffae9f143264036b","21-00","Thursday"
"24a94bbb603c5308a2e8817dc356492287f7b174","00-03","Friday"
"54f1fb0574a6ecf8f415bbf6da1aaf6f1999bb29","03-06","Friday"
"c63b7774cdba29394ec746b381f45e816dcb0830","06-09","Friday"
"ac00547512f33b1222d699c7857108360d99b233","09-12","Friday"
"a1f5a5425e65c40e9baaf5eb4faeaed01cee3569","09-12","Friday"
"7bf952b4781925c06d3941530d58b9ba100969ac","09-12","Friday"
"e6f21174ab42092b4ccc9f264627aa43b48b5a02","09-12","Friday"
"45548b9451fba4e48c6f0c0ba6050482c2ea2956","15-18","Friday"
"9d4bc592cf3cc9a907fd2219355990a9806aba7f","15-18","Friday"
"903dd8d07fb29ed96584fb6d1438dacb8e5d76f1","18-21","Friday"
"1bc791ec8eb4ff8fb0474807c222a04d63192bb8","18-21","Friday"
"9137740b2e8937aaf65c7c86dd11b096d028e7d2","09-12","Saturday"
"48eccb8f967ac559a33dd639bf2c50e0288eb1a8","06-09","Sunday"
"3bc0e3296abc9601dcaf7d77835e80e5fea43def","12-15","Sunday"
"58aab1118a95ef63ba00784760fd13730dd46501","15-18","Sunday"
"9a0f6b841d1c5d8e00c902dceaaaf145e058ea64","18-21","Sunday"
"d722fba54e844b83025a7189b28371fba7e1af88","21-00","Sunday"
"985f3501806980e6612ae7fbe81669b001e93597","21-00","Sunday"
"1ac35e710afc6cf5ea4466714b18efacdc44e1f7","09-12","Monday"
"c25251cde620481592392e5f82f9aa8a259a2f06","12-15","Monday"
"dbe14c31d52a345aa82e050cc0a91ee60d9ee567","15-18","Monday"
"0e8bff9c4ec837d086dbe49b3d583a8d23f49e0e","15-18","Monday"
"0d6e626b050a860462224ad64dc5e9831fe8624d","18-21","Monday"
"bcaa9c2ac720922ad6733081c321744504a9ca8e","18-21","Monday"
"d25b1945a6a6c2f8421295a5e5cc6a4debcd70a9","18-21","Monday"
"c5597d1fabe5d8f3a170885f6640344d93bf64bf","21-00","Monday"
"e470d784627502f171819fab072e0bbab4a05492","00-03","Tuesday"
"30faf4a87a2e1b32de36f130aea5877d5e1003c6","03-06","Tuesday"
"26b8997fb185fd308c243a9418ade317e533e26b","03-06","Tuesday"
"511d25d0fc9b7db033ffa5a0ad2ef9ea4bdaa305","06-09","Tuesday"
"547e352578fac92f072b269dc257d21cdc279d97","09-12","Tuesday"
"ba220b091c9fe9ba530533a71e88a9f5ca35d42d","09-12","Tuesday"
"a98621f4facabc207b4d6b6968e6863845e1f90f","09-12","Tuesday"
"df9031742edce7758aed111f4cb2332bcf91f924","09-12","Tuesday"
"45b6cfa138ae23e39802b493075bd5b7531ccdae","09-12","Tuesday"
"c082aec089405ed0399cfee548011b0520be0011","09-12","Tuesday"
"0b7c095c9fa54981248a72659da9acdf3bf5c2c0","18-21","Tuesday"
"89dc1cd17d3aaca88da2be00542b946345685b3e","21-00","Tuesday"
"b3536217cd80bda8b56068a2efb3fa6979d17b3f","06-09","Wednesday"
"d745cee3dbde6b437a817aa64e385a1a948389d5","06-09","Wednesday"
"739e6b5d775412f987a3ff5fb71c51fbb7051a89","06-09","Wednesday"
"adf0cae48ad4e87612c00fe9facffca9b5728e7d","09-12","Wednesday"
"f6bb4746efbc6a94fa17b6c77b31d9fb17305ffc","09-12","Wednesday"
"9154cb08daae1cf1216677cc651ade959e6a693a","15-18","Wednesday"
"8d5c6c80359569c3faefe850a353291acae8aa5e","15-18","Wednesday"
"a66f95539a420ef91f145124c7e8a5394f535c61","18-21","Wednesday"
"8013c9f3c3715845bb9987fd7936430fcf696460","18-21","Wednesday"
"e4f5cb0d9a027d5f29f5981d85c714a1afbe8b0e","18-21","Wednesday"
"769e204d533769a50f4b40b9f6cfe718960877df","18-21","Wednesday"
"3d8794bf50fe6028706d5e4b15f04110c6e2428b","18-21","Wednesday"
"abcfc6f76def56c56c0bb15423eab00a837c099a","21-00","Wednesday"
"911bd1cdb869295e267b99cdaa0bfe68cc7ace12","21-00","Wednesday"
"2b601415ee7d4b51e95d92c25a28d1194d4c0a48","21-00","Wednesday"
"44741f354cf8b7113099b0e0f147b58a55ecc5d3","21-00","Wednesday"
"aac2f8f0a9eff40b02212257079ab3708a4e5745","21-00","Wednesday"
"80f98131dfccc4e8d03d6f5ae3486dcb5cf1c8cd","21-00","Wednesday"
"ffc1dbb4acc1448a9ee6576cb4d348a20b209bc5","06-09","Thursday"
"64b0872d92609e2df465989062e39357eeef9dab","06-09","Thursday"
"28f2e709165a56f0bc1097d7457149330914cea9","09-12","Thursday"
"5ae9728db7d34d287907ca3a919ac1a94c776799","09-12","Thursday"
"f00c131cbf5b2c19c817d1a1945326b80f8c79e7","15-18","Thursday"
"5794393c95156097095e6fbf76d7faeb6ec08072","18-21","Thursday"
"0fd42ff015be02d1a6a6c2e1a080f8267194b3a5","18-21","Thursday"
"3ec66bb7cc686d060ff728bb6bf4d4e70e387ae3","18-21","Thursday"
"bfb14f6ffa82df3e4fe2bbba8caef18ba768bf72","18-21","Thursday"
"e81ee5514ae76c20efd0b7a609e1ac723bad29a2","18-21","Thursday"
"3d422fdee289cfe75f1c9ed545b3781fc3e405ac","21-00","Thursday"
"5b0f668b6dad448bdf99976658231f6ffa607f8b","21-00","Thursday"
"2c0583c131347a62fb98bb4deed0cb6da635bd17","03-06","Friday"
"a6bef887298dbbe107efbc0e4634998f1b60f0e7","03-06","Friday"
"778c3f6357642d00e9023304d15bba190ae1dd46","06-09","Friday"
"85910b74c0a21fcb75e768ac0c5003253af6a7ec","09-12","Friday"
"22e44ab9f2f3a68aa2ed236cfe514554dd479a38","12-15","Friday"
"5f6a5fdde991ef287ca12a72f75cea6e9ce555d7","12-15","Friday"
"6f86b6cd070097dafca196841c82de91faa882f4","12-15","Friday"
"24e52f92bd9305bf534c411f9455460060515ea7","15-18","Friday"
"e16319bc5549f8670aaa44af5a1db8de14afd401","18-21","Friday"
"ef40148170ce1110a4c9a859207d40dcc6ad1cd5","18-21","Friday"
"e86f6880450764da85215a7dbb0406af5ffc8d1a","18-21","Friday"
"afa9ead4cea767dfc4b43e6f301e6204f7521e3f","18-21","Friday"
"f048aba47e079e0c81417170a5ac582ed00595c4","18-21","Friday"
"fb10108eec4d9c621f5bcdba3120d9a88a368e7f","18-21","Saturday"
"c930016f1c0e99e97a4392a479420198ef2b4e14","18-21","Saturday"
"ba2204ededb7e7b213d9e10e45f566737d46de91","06-09","Sunday"
"38fb4329fd3c0663d8ff79d359e9824ee2a082f5","06-09","Monday"
"55d3ecc9bade0927ad2f8c98daf0810da2c78941","06-09","Monday"
"c55f9ea05c2a79fef9e56c9406acd8543253a830","06-09","Monday"
"9fa75aaf7a391ebf0e6b6949445c060f6de2ceb9","09-12","Monday"
"fc36d002fccaad65718f42994747600c14f10263","09-12","Monday"
"a08cdaea4a8ab57cf0dc61b20a826ca22589530c","09-12","Monday"
"94875e836e64342500a36fce1c25c5446a319d7f","09-12","Monday"
"f532d395fa363a278a9c26a76f02c360a366dd30","15-18","Monday"
"b1a977cfed7c8ff6cd286ef3bd3ad4beddbca73e","18-21","Monday"
"01330b3f859cf114b51d0cb3c6e0faa3dc58f46a","21-00","Monday"
"e3d4e56530447ec31bc62632364f55d7da1aaddb","21-00","Monday"
"e3ec1ac72eac9aa6a9f3a99154fe0bf53a8d283a","06-09","Tuesday"
"c356e4fc22abc77f05aa136700094a882f2ca8c0","09-12","Tuesday"
"e2da3151d49dae636cb6901f3d3e124a49cbf514","09-12","Tuesday"
"ec18db170745a8b1df0bb75569cd22e69892b3e2","09-12","Tuesday"
"41ea700cbdce99cddd0f7b51b33b9fab51b993af","12-15","Tuesday"
"efe8473385426bf8c1e23a845f1ba26482843855","12-15","Tuesday"
"9e8627faa71e9d2047816b291061c28585809508","12-15","Tuesday"
"0cbc0dc6d8bbebce5e2f039a70eb48bf3ee7a267","15-18","Tuesday"
"0f1cef27a5a19dd56e6b07ab0bf9868fb850421a","15-18","Tuesday"
"5b3382f63898e497d482870636ed156ce861afbc","18-21","Tuesday"
"956aac2b2d719e76c9c8cf6a77e9373021900307","21-00","Tuesday"
"b1ea3f32f9284c6f53bab343bdf79ab3081276a8","00-03","Wednesday"
"f82246abe9491a49701abdb647be001d95db7e9f","03-06","Wednesday"
"ce7766e0a52e15b2b1ef7e7f9c613ea686fbfca6","03-06","Wednesday"
"c9607d44de5a3c9674a923a601fc444ff957ac7e","03-06","Wednesday"
"4d4c2b9d8b5de4bf03524acf01a298c162e1d9e4","03-06","Wednesday"
"4acf810872c5533a206b6629425b9964f431b49b","06-09","Wednesday"
"27001a23718d6b8b5118eb130be84713af9a4477","09-12","Wednesday"
"a8c45b088e088a5f1d9c924f9efb660c80c0ce12","09-12","Wednesday"
"47c2023df273654bb6ea4b1ec08ab86dfb633092","15-18","Wednesday"
"54ac9234a8154325b13202e558c5fd8798319c7a","18-21","Wednesday"
"025119e9f3cfba66bb2cf2735e5859e9a7a17d7a","18-21","Wednesday"
"635f94cc392b0393a4f9a38fb78123e842781fca","21-00","Wednesday"
"fbb095605ab009869ef021535c16b62a3d18a562","00-03","Thursday"
"2c9ce803d744949674e4ec9ac88f73ad0a361399","00-03","Thursday"
"3316eb9fbb3790ac7ed7b42332d8b806b4299bbc","00-03","Thursday"
"a473facf6c0b36f7d051ecc2d1aa94ba6957468d","00-03","Thursday"
"3bcaf3dd7e71993e1a89cf9367bf7c540cc88e75","06-09","Thursday"
"b1d12271b85460803670415ae4af9313f8ae2599","12-15","Thursday"
"4ebf1c814c6e382169db00493a897b11c680e72b","12-15","Thursday"
"6a69fbb10c08f30c0cb22e2ba68f56f3a5d465aa","12-15","Thursday"
"f1d484c46c18a83e0b8bc010044126dafe4467bc","15-18","Thursday"
"7db42fe6655c28330e80b8a062ef3e07968d6e76","15-18","Thursday"
"d67b38365d7f97a6ba334135d45535e8525f5979","21-00","Thursday"
"29d2a31dc04471fc92cbfb2943ca419d5d8a6ab0","21-00","Thursday"
"8dd194493d6853c2de80faee60d124b5d54ec3a6","03-06","Friday"
"a45a7c149ae02cf9e0e64f4119223ed1743c81f7","03-06","Friday"
"1d43826b5ddd40eafca738d6b640cddfdad94cfe","03-06","Friday"
"d59f2fa29c6d81d463213987971ae1688b805cef","06-09","Friday"
"a59076eaeed03dd46e749ad58160193b4ef3660c","09-12","Friday"
"dc5bf3fd02c589578209cb0dd5b7d005b1516ae9","09-12","Friday"
"cb18d923f8253ac257c1b47e9276c39bae967666","12-15","Friday"
"bc1d68a6eb01919415c399d678f491e013eb9238","12-15","Friday"
"ec2db302675f41d1ba43673895cfc44b13b25349","12-15","Friday"
"09a8fd4d31a0bd27d43c4774d5701a5f559adccc","15-18","Friday"
"465d0b3e67ca3b7d59c9068a22f27e73af7e893b","15-18","Friday"
"c70834ca74fad502e5db542bcf3e24cb708fe0e6","18-21","Friday"
"8fcd2cf220382d8daed2e31fd3ed465e3ca5ee15","18-21","Friday"
"5dc6e5bfbe61aae40aef169110e238dfe6b421fc","18-21","Friday"
"84e60367816f42eaba7f398fb8027dc89173edde","21-00","Friday"
"9ea53da222f8c04b2b1bd5fb31f01f42d388d383","21-00","Friday"
"013522c52a844eeb961aed1610b74bdf6a67a815","21-00","Friday"
"6a0dc84159021a3187fd0a4a83058d7bdcdfe055","09-12","Saturday"
"8af28f218bf84ada284df29d5e00d4e381d14a15","12-15","Sunday"
"0fa8c4452764fbc403fc2e1f5c2f61a6aa4f383a","15-18","Sunday"
"1685bdc3901582325f7b8e49aa25cc96d3bb617a","18-21","Sunday"
"9b31389df572318b1f1d16c3158ce604ea413bfb","18-21","Sunday"
"86b5ba28026fc6e8b7d868b83080189df9b09306","21-00","Sunday"
"a247a8f7c9d3e4ba7dcb01f45d4b089477de5008","21-00","Sunday"
"936e7c4755e503cc2a067398e39d485fc8f0984e","21-00","Sunday"
"f69dd29e872ad3db3df1dc2d0b64add0e09d7a10","21-00","Sunday"
"5f3a46427bd8fca6514b0080270f93600b033851","21-00","Sunday"
"49e55b7a92ff63b782c47aec6e101a394843cf89","21-00","Sunday"
"340f7065ceea8f1463d628336ca4dfe8c0b63466","21-00","Sunday"
"9276310a43d17a9e9e38c2cb83686a15656896b2","21-00","Sunday"
"495ae23d45eda52f2b368d0afa4213f4e69e97cd","21-00","Sunday"
"def4b5376517919ca08d783ebcfa5f1751cc2aa3","21-00","Sunday"
"36ffbee4aae37b83b188d35aedd36add8dedf50e","00-03","Monday"
"3a0b8bded98a1f8256765e5b829c2ba4f1b0369a","03-06","Monday"
"9095e682f7efb1341377481c9f6def38411135a3","06-09","Monday"
"4c62a4f58bd7a76e971ecf4ed798bc795afec4c5","06-09","Monday"
"b5b54cb4736d3f1d7855a5a049c5f2669859845e","06-09","Monday"
"2be5d3a78ee6bd5d15a18ca30ccfe51fbda2db87","06-09","Monday"
"361aa77d5df47dfece9617147724e9657f14492f","09-12","Monday"
"d8086a3db5ef020ef28158249105e7ce5639b1a5","12-15","Monday"
"62938e945b94fbc18e14ef8e5d23f374c92af4b3","15-18","Monday"
"c255ac411b93d222bc9a0dbd4139a15687d2c981","18-21","Monday"
"cda83c226bf231f3a7e1b78c00bf13f9defb5d6e","21-00","Monday"
"8dc895cbb64e991893705b04e03a6655c35888fe","21-00","Monday"
"2844dad1c762f5c7dd1271866d3661bf66657300","09-12","Tuesday"
"6f8cd65bde8d2ecb26a35398fdd8373b66904b30","12-15","Tuesday"
"02d94c5f0e2ca4571cdfbde2a8624dd4569876c7","15-18","Tuesday"
"cce4ca55058b605d19841bb9d43043f0d45665cb","06-09","Wednesday"
"342b4fe836c864272ca298bb3dcac61f2eccac45","06-09","Wednesday"
"9e268e13b147401a5665e497aee87ac107ade8d1","06-09","Wednesday"
"07ea574fed5d56ca9405ee9e47828841289e3a3c","09-12","Wednesday"
"b9efbf513d8390b66d01ee380ccc43cd60d3c88b","09-12","Wednesday"
"b7796895cb41d8e5e79e6d8eee150b11d8c302a7","12-15","Wednesday"
"87c5c9fa629317090ce65ec4c686596a2c4cd148","12-15","Wednesday"
"0261bc57bcad3c1f3c0b7f3a4683584462cf1e0e","12-15","Wednesday"
"a3768b44e9b57aa9334d4a133f6179cd5da0c469","15-18","Wednesday"
"d91861d3bdbde18c937978c878d137d6c758e2c6","15-18","Wednesday"
"471fdacd853a5bcb190e1ffc017a4e650097ed69","15-18","Wednesday"
"e16207409998b38b91c1f1697557d5c229ed32d1","18-21","Wednesday"
"f7ed87823afb2871d8f11e615d96693db3a6c2b8","18-21","Wednesday"
"fbeb01cb17b7cb9c2e27ac7010f423a2bced78b4","18-21","Wednesday"
"727db077b4d2ccf6714a892f19d30a7a0e4225e7","18-21","Wednesday"
"51419a789acb80c822e4f74a846f71f3aa00ffe2","18-21","Wednesday"
"13890788ae939328d451daeaea54f493f4aaaa69","21-00","Wednesday"
"359dfb54469cb33b817d0e76641e2be09dc04d2d","21-00","Wednesday"
"438ba41e142593f2b0916893eccbd08fbe4d277b","21-00","Wednesday"
"8891c6944671d8965a63ddbd59b5c23597e86f0a","21-00","Wednesday"
"3a7c9f277f25356783587ea38ccaf852aabc3674","03-06","Thursday"
"8062756fa9e01eeeee1f2c6df74f376c0a526bd5","06-09","Thursday"
"0854500769a07f8251269caeab65c95a05d9c28a","06-09","Thursday"
"1aa9e803c26b8e86ab053cfe760153fc286e177c","06-09","Thursday"
"049c6184b730a7ede41db9406654f054ddc8cc5f","09-12","Thursday"
"0c485ae40eb783efdc9bf98c357cce3529f513b9","12-15","Thursday"
"dfbf5299ee2c3e68f6ec39ac502059fedbef3358","12-15","Thursday"
"aa479b9323661cb4909a958fc0037a6c61144b6c","12-15","Thursday"
"8d78f903ac9d25870c61ffe762da12796475dcaa","12-15","Thursday"
"4d9cb1deeae0d2e84f2848fafa1f09a367b6d9d4","15-18","Thursday"
"b9b8da79b512d8b62bc753e57ec28b6331761ae1","15-18","Thursday"
"a0c58cb2937b011e18805ad254d05d4d73fb6e03","15-18","Thursday"
"6ac00431d1b2af2283bb8fd84620ba71892ea144","15-18","Thursday"
"b227316f90beba9d780434cd44abb28dde13f0fe","15-18","Thursday"
"ab8c9ec2545caefb232d8e979b18b4c8c8ad3563","18-21","Thursday"
"18f2b35c8fe09aaa8d2b28065846d7cf1e85cae2","18-21","Thursday"
"16d9f960944d1ebc0e79fcd17e0c0f63470f2848","18-21","Thursday"
"d3c8881cc607337d3bede1f1b9a9284227e5ebd1","18-21","Thursday"
"ba3665f76a2205bad4553ba00537026a1346e9ae","18-21","Thursday"
"233663046d5210359ce9f4db2fe3db4f5c38f6ee","18-21","Thursday"
"fba6f86ed7e59c166d0cf7717f1734ae30ba4d9c","18-21","Thursday"
"94128303e17412315aacd529d75a2ef549cce1f5","21-00","Thursday"
"406b486823cbd6bd9748c2311cf3fead047a72aa","21-00","Thursday"
"4e61b654c39d47bfe72e3004be45ba1bd97be660","21-00","Thursday"
"b7a1a2e1e6d0e46e209fc7a5ffb7313a2891f435","03-06","Friday"
"2b2b0a736b8f6e091f1362adaa6d484d6034673b","06-09","Friday"
"90baac669c446eb4dfb9166d996de59289044983","09-12","Friday"
"b888012bdd9a6a755cf6851fd214794bf293a4ff","09-12","Friday"
"a853233ddb838873c7f0958402cccf5e25ea60c8","09-12","Friday"
"4e265812d34c322c0a3a08bb771f1eb89b49808e","15-18","Friday"
"bc7e471cdae73a3c46ef89d17dbc1a54212b9291","21-00","Friday"
"090b5cf3efc42e5a2b773aae3126cfb55bb6054b","21-00","Friday"
"cab342ee010bfd048006ca458c760b37470b6ea5","21-00","Friday"
"83ababc36894de662eb462a2f9e6bdf144b794a6","21-00","Friday"
"0dddaa0adc323bb49772ac9f53e4ba7668dbe522","21-00","Friday"
"da4912b5e562c7a30e0c54f79220c99a32e69ab9","21-00","Friday"
"320671914ae2ebce30bb888ef2125bf79b1ba39e","06-09","Sunday"
"35845f9fb62a261c956f32d64516b637b18369fa","09-12","Sunday"
"7a786de96ed178ff99aef93761d82d100b29bdf3","12-15","Sunday"
"9cc72bbaec0d7d6041ecd53541a524a2f1e523d0","18-21","Sunday"
"810d46776ad1a52f27ec578e5be875c39c90fc45","18-21","Sunday"
"eaaa030ab4dc4d178dab8194fd4ef9450b6b67a5","18-21","Sunday"
"a906d73b5ebc67b7015cfc8be9451fadc72dfe94","18-21","Monday"
"0edbe913685e6a21905bc4bb52c6a084bdcdf953","18-21","Monday"
"d5a2fcbad73d7bc3d9e3d39cff7cc9a9910ea12d","18-21","Monday"
"2940b9fa55a6a72c60c2162e541631addec3d6b8","21-00","Monday"
"ebd7b0eb5353428e0345d67a98298292f1804897","12-15","Tuesday"
"f32371c96bf3671727502db0f4bd0f61e0033b80","18-21","Tuesday"
"89bed231db4807826441930661d79520250f3075","18-21","Tuesday"
"4e73e47d546bf3fd230f93056d01e12f92274433","18-21","Tuesday"
"688f91b330addbc88a5bbda2f0e29cbed2313678","00-03","Wednesday"
"7e7add0bf4512760280f31cfd74bdf0ce1705692","00-03","Wednesday"
"c769019753fc6ae3da12d1ef9664c46fd6c5f932","06-09","Wednesday"
"72e5a318257d813784f89dab7fa86f1a9111abbb","06-09","Wednesday"
"a6f859eb540bcc168d99d66146a51902502c4217","06-09","Wednesday"
"a93216ef294365cf98f08ee4a8c320381df30b48","09-12","Wednesday"
"ee83a2fbd1a65e6a5c7d550a39e1deee49856270","09-12","Wednesday"
"b502e665d633262f3ce52d9c002c0a25e6e4ec9d","12-15","Wednesday"
"214874bacecf6283bf05824609dbf9824c02eaa6","12-15","Wednesday"
"f8f0cbc75e9e467c2d05c38e64324e2d4ec85176","15-18","Wednesday"
"212a37fbeccebce2b8fb14535234a9bdc4b93708","15-18","Wednesday"
"67204565b848b29c1c36188183eb27240e5c48bc","18-21","Wednesday"
"4f6fb0b398b59e76fe5a2b0a104e9b9651a66ef0","18-21","Wednesday"
"1563a39599ce9001ca748e68332f7c0c5c94cb71","18-21","Wednesday"
"b73eb055b3c3a7772d575b5c159a30e50e3c8451","18-21","Wednesday"
"7b096483fa20df921101a09816a1d2701e9ae1dd","18-21","Wednesday"
"d81cf6cce4b05c9886bf08c14fa4fa33ae89350c","21-00","Wednesday"
"1d6d60aac5a7a9e04a6ed6aacca1d1470d80f493","21-00","Wednesday"
"d619a98dbfdeb7cc37aabf61987d35eec62457fd","21-00","Wednesday"
"518b93c24fda6e7a1df0acf0f4dd1921967dc8f6","21-00","Wednesday"
"b07a26523fad4f17ceb4e3a2f88e043dcaff5e53","21-00","Wednesday"
"9a2a5b06957c41f05db974243fcf1577fdd2f0f5","21-00","Wednesday"
"a81ac70b33a589c58b59864df931d3293fada382","21-00","Wednesday"
